id,format,variant,is_fp64,hack_size,cpu_mt_nthreads,time_it_took
1,csr,v1,1,0,1,0.0119289
2,csr,v1,1,0,1,0.0120658
3,csr,v1,1,0,1,0.0116728
4,csr,v1,1,0,1,0.0116644
5,csr,v1,1,0,1,0.0116977
6,csr,v1,1,0,1,0.0116386
7,csr,v1,1,0,1,0.0116437
8,csr,v1,1,0,1,0.011574
9,csr,v1,1,0,1,0.0116372
10,csr,v1,1,0,1,0.0116555
11,csr,v1,1,0,1,0.011624
12,csr,v1,1,0,1,0.0116616
13,csr,v1,1,0,1,0.0116638
14,csr,v1,1,0,1,0.011637
15,csr,v1,1,0,1,0.0116198
16,csr,v1,1,0,1,0.0116726
17,csr,v1,1,0,1,0.0116247
18,csr,v1,1,0,1,0.0116556
19,csr,v1,1,0,1,0.0117367
20,csr,v1,1,0,1,0.011669
21,csr,v1,1,0,1,0.0116085
22,csr,v1,1,0,1,0.0117166
23,csr,v1,1,0,1,0.0116012
24,csr,v1,1,0,1,0.0116664
25,csr,v1,1,0,1,0.0116561
26,csr,v1,1,0,1,0.0116852
27,csr,v1,1,0,1,0.011649
28,csr,v1,1,0,1,0.0116554
29,csr,v1,1,0,1,0.0116621
30,csr,v1,1,0,1,0.0116747
31,csr,v1,1,0,1,0.0116366
32,csr,v1,1,0,1,0.0116366
33,csr,v1,1,0,1,0.0116535
34,csr,v1,1,0,1,0.0116298
35,csr,v1,1,0,1,0.0115949
36,csr,v1,1,0,1,0.0116735
37,csr,v1,1,0,1,0.0116215
38,csr,v1,1,0,1,0.0116635
39,csr,v1,1,0,1,0.0116188
40,csr,v1,1,0,1,0.0116482
41,csr,v1,1,0,1,0.0116112
42,csr,v1,1,0,1,0.0116989
43,csr,v1,1,0,1,0.0116233
44,csr,v1,1,0,1,0.0116743
45,csr,v1,1,0,1,0.011624
46,csr,v1,1,0,1,0.0132759
47,csr,v1,1,0,1,0.0116608
48,csr,v1,1,0,1,0.0116434
49,csr,v1,1,0,1,0.0116425
50,csr,v1,1,0,1,0.0116645
51,csr,v1,1,0,2,0.00685365
52,csr,v1,1,0,2,0.00544806
53,csr,v1,1,0,2,0.00532158
54,csr,v1,1,0,2,0.0052019
55,csr,v1,1,0,2,0.0051382
56,csr,v1,1,0,2,0.00510326
57,csr,v1,1,0,2,0.00510123
58,csr,v1,1,0,2,0.00518476
59,csr,v1,1,0,2,0.00507681
60,csr,v1,1,0,2,0.00506531
61,csr,v1,1,0,2,0.00503335
62,csr,v1,1,0,2,0.00504389
63,csr,v1,1,0,2,0.0050516
64,csr,v1,1,0,2,0.00503111
65,csr,v1,1,0,2,0.00503074
66,csr,v1,1,0,2,0.00502722
67,csr,v1,1,0,2,0.00502647
68,csr,v1,1,0,2,0.00500395
69,csr,v1,1,0,2,0.00498665
70,csr,v1,1,0,2,0.00498815
71,csr,v1,1,0,2,0.00501127
72,csr,v1,1,0,2,0.00500376
73,csr,v1,1,0,2,0.00499954
74,csr,v1,1,0,2,0.00502827
75,csr,v1,1,0,2,0.00501403
76,csr,v1,1,0,2,0.00501282
77,csr,v1,1,0,2,0.00501015
78,csr,v1,1,0,2,0.00500584
79,csr,v1,1,0,2,0.00500452
80,csr,v1,1,0,2,0.004987
81,csr,v1,1,0,2,0.00499812
82,csr,v1,1,0,2,0.00498462
83,csr,v1,1,0,2,0.00498645
84,csr,v1,1,0,2,0.00499323
85,csr,v1,1,0,2,0.00498852
86,csr,v1,1,0,2,0.00497812
87,csr,v1,1,0,2,0.00502703
88,csr,v1,1,0,2,0.00500161
89,csr,v1,1,0,2,0.00658819
90,csr,v1,1,0,2,0.00502842
91,csr,v1,1,0,2,0.00500038
92,csr,v1,1,0,2,0.00498158
93,csr,v1,1,0,2,0.00498673
94,csr,v1,1,0,2,0.00501139
95,csr,v1,1,0,2,0.00500793
96,csr,v1,1,0,2,0.00498277
97,csr,v1,1,0,2,0.0049802
98,csr,v1,1,0,2,0.00500163
99,csr,v1,1,0,2,0.00500155
100,csr,v1,1,0,2,0.00499403
101,csr,v1,1,0,3,0.00478216
102,csr,v1,1,0,3,0.00369946
103,csr,v1,1,0,3,0.00364496
104,csr,v1,1,0,3,0.00359989
105,csr,v1,1,0,3,0.00357656
106,csr,v1,1,0,3,0.00355087
107,csr,v1,1,0,3,0.00355388
108,csr,v1,1,0,3,0.00355029
109,csr,v1,1,0,3,0.00354687
110,csr,v1,1,0,3,0.00355007
111,csr,v1,1,0,3,0.00356356
112,csr,v1,1,0,3,0.00355548
113,csr,v1,1,0,3,0.00356465
114,csr,v1,1,0,3,0.00355413
115,csr,v1,1,0,3,0.0035699
116,csr,v1,1,0,3,0.00356908
117,csr,v1,1,0,3,0.00356018
118,csr,v1,1,0,3,0.00356137
119,csr,v1,1,0,3,0.00356011
120,csr,v1,1,0,3,0.00355679
121,csr,v1,1,0,3,0.00356639
122,csr,v1,1,0,3,0.00357466
123,csr,v1,1,0,3,0.00357597
124,csr,v1,1,0,3,0.00357917
125,csr,v1,1,0,3,0.00358885
126,csr,v1,1,0,3,0.003562
127,csr,v1,1,0,3,0.00358445
128,csr,v1,1,0,3,0.00355999
129,csr,v1,1,0,3,0.00357544
130,csr,v1,1,0,3,0.00358359
131,csr,v1,1,0,3,0.00358184
132,csr,v1,1,0,3,0.003577
133,csr,v1,1,0,3,0.00357683
134,csr,v1,1,0,3,0.00470323
135,csr,v1,1,0,3,0.00477188
