id,format,variant,is_fp64,hack_size,cpu_mt_nthreads,time_it_took
1,csr,v1,1,0,1,0.00910923
2,csr,v1,1,0,1,0.00719915
3,csr,v1,1,0,1,0.00708513
4,csr,v1,1,0,1,0.00703125
5,csr,v1,1,0,1,0.00698391
6,csr,v1,1,0,1,0.00696201
7,csr,v1,1,0,1,0.00696816
8,csr,v1,1,0,1,0.00695258
9,csr,v1,1,0,1,0.00694972
10,csr,v1,1,0,1,0.00694645
11,csr,v1,1,0,1,0.00696297
12,csr,v1,1,0,1,0.00693795
13,csr,v1,1,0,1,0.00692576
14,csr,v1,1,0,1,0.0069555
15,csr,v1,1,0,1,0.00694633
16,csr,v1,1,0,1,0.00692155
17,csr,v1,1,0,1,0.00692543
18,csr,v1,1,0,1,0.00692849
19,csr,v1,1,0,1,0.00691898
20,csr,v1,1,0,1,0.0069419
21,csr,v1,1,0,1,0.00692205
22,csr,v1,1,0,1,0.00692675
23,csr,v1,1,0,1,0.00693396
24,csr,v1,1,0,1,0.00692882
25,csr,v1,1,0,1,0.00690479
26,csr,v1,1,0,1,0.00692549
27,csr,v1,1,0,1,0.00693896
28,csr,v1,1,0,1,0.00692087
29,csr,v1,1,0,1,0.00693859
30,csr,v1,1,0,1,0.00692758
31,csr,v1,1,0,1,0.00692329
32,csr,v1,1,0,1,0.00693106
33,csr,v1,1,0,1,0.00692827
34,csr,v1,1,0,1,0.00691702
35,csr,v1,1,0,1,0.00692232
36,csr,v1,1,0,1,0.00693055
37,csr,v1,1,0,1,0.00691398
38,csr,v1,1,0,1,0.00694651
39,csr,v1,1,0,1,0.00691002
40,csr,v1,1,0,1,0.00690637
41,csr,v1,1,0,1,0.00689224
42,csr,v1,1,0,1,0.00691956
43,csr,v1,1,0,1,0.00689365
44,csr,v1,1,0,1,0.00692618
45,csr,v1,1,0,1,0.00689867
46,csr,v1,1,0,1,0.00688701
47,csr,v1,1,0,1,0.00693192
48,csr,v1,1,0,1,0.00691752
49,csr,v1,1,0,1,0.00691135
50,csr,v1,1,0,1,0.00691295
51,csr,v1,1,0,2,0.00601555
52,csr,v1,1,0,2,0.00472748
53,csr,v1,1,0,2,0.00421346
54,csr,v1,1,0,2,0.00415589
55,csr,v1,1,0,2,0.00414586
56,csr,v1,1,0,2,0.00413296
57,csr,v1,1,0,2,0.00413016
58,csr,v1,1,0,2,0.00413491
59,csr,v1,1,0,2,0.00412684
60,csr,v1,1,0,2,0.00412677
61,csr,v1,1,0,2,0.00413579
62,csr,v1,1,0,2,0.00413327
63,csr,v1,1,0,2,0.00412942
64,csr,v1,1,0,2,0.0041341
65,csr,v1,1,0,2,0.00412827
66,csr,v1,1,0,2,0.0041389
67,csr,v1,1,0,2,0.00412745
68,csr,v1,1,0,2,0.00413617
69,csr,v1,1,0,2,0.00412819
70,csr,v1,1,0,2,0.00980731
71,csr,v1,1,0,2,0.00413785
72,csr,v1,1,0,2,0.00411919
73,csr,v1,1,0,2,0.00412127
74,csr,v1,1,0,2,0.00414449
75,csr,v1,1,0,2,0.00413225
76,csr,v1,1,0,2,0.00412496
77,csr,v1,1,0,2,0.00413221
78,csr,v1,1,0,2,0.00410975
79,csr,v1,1,0,2,0.00413085
80,csr,v1,1,0,2,0.00417232
81,csr,v1,1,0,2,0.00413681
82,csr,v1,1,0,2,0.00413285
83,csr,v1,1,0,2,0.00411671
84,csr,v1,1,0,2,0.004136
85,csr,v1,1,0,2,0.00413215
86,csr,v1,1,0,2,0.00413044
87,csr,v1,1,0,2,0.0042035
88,csr,v1,1,0,2,0.0041147
89,csr,v1,1,0,2,0.00413776
90,csr,v1,1,0,2,0.00412972
91,csr,v1,1,0,2,0.00413031
92,csr,v1,1,0,2,0.00415894
93,csr,v1,1,0,2,0.00414088
94,csr,v1,1,0,2,0.00415929
95,csr,v1,1,0,2,0.00413257
96,csr,v1,1,0,2,0.00412294
97,csr,v1,1,0,2,0.00412287
98,csr,v1,1,0,2,0.00411767
99,csr,v1,1,0,2,0.004116
100,csr,v1,1,0,2,0.00411426
101,csr,v1,1,0,3,0.0047361
102,csr,v1,1,0,3,0.00380455
103,csr,v1,1,0,3,0.00381327
104,csr,v1,1,0,3,0.00378128
