id,format,variant,is_fp64,hack_size,cpu_mt_nthreads,time_it_took
1,csr,v1,1,0,1,0.0366999
2,csr,v1,1,0,1,0.0365416
3,csr,v1,1,0,1,0.0366295
4,csr,v1,1,0,1,0.0363642
5,csr,v1,1,0,1,0.0365131
6,csr,v1,1,0,1,0.0365277
7,csr,v1,1,0,1,0.0364995
8,csr,v1,1,0,1,0.0362885
9,csr,v1,1,0,1,0.0364677
10,csr,v1,1,0,1,0.0363082
11,csr,v1,1,0,1,0.0364305
12,csr,v1,1,0,1,0.0362336
13,csr,v1,1,0,1,0.0364174
14,csr,v1,1,0,1,0.0364675
15,csr,v1,1,0,1,0.0376789
16,csr,v1,1,0,1,0.0362295
17,csr,v1,1,0,1,0.0363767
18,csr,v1,1,0,1,0.0550558
19,csr,v1,1,0,1,0.037501
20,csr,v1,1,0,1,0.036031
21,csr,v1,1,0,1,0.0362306
22,csr,v1,1,0,1,0.0363767
23,csr,v1,1,0,1,0.0361872
24,csr,v1,1,0,1,0.0360902
25,csr,v1,1,0,1,0.0362126
26,csr,v1,1,0,1,0.0362988
27,csr,v1,1,0,1,0.0361562
28,csr,v1,1,0,1,0.0361178
29,csr,v1,1,0,1,0.0361465
30,csr,v1,1,0,1,0.0363116
31,csr,v1,1,0,1,0.037941
32,csr,v1,1,0,1,0.0361807
33,csr,v1,1,0,1,0.0363286
34,csr,v1,1,0,1,0.0377063
35,csr,v1,1,0,1,0.036171
36,csr,v1,1,0,1,0.0363215
37,csr,v1,1,0,1,0.0361136
38,csr,v1,1,0,1,0.0376723
39,csr,v1,1,0,1,0.0362602
40,csr,v1,1,0,1,0.0361812
41,csr,v1,1,0,1,0.037826
42,csr,v1,1,0,1,0.0361407
43,csr,v1,1,0,1,0.0363718
44,csr,v1,1,0,1,0.0377691
45,csr,v1,1,0,1,0.0361379
46,csr,v1,1,0,1,0.0360961
47,csr,v1,1,0,1,0.0361236
48,csr,v1,1,0,1,0.0363044
49,csr,v1,1,0,1,0.0363606
50,csr,v1,1,0,1,0.0363197
51,csr,v1,1,0,2,0.0212228
52,csr,v1,1,0,2,0.0190544
53,csr,v1,1,0,2,0.0189866
54,csr,v1,1,0,2,0.0190415
55,csr,v1,1,0,2,0.0190302
56,csr,v1,1,0,2,0.0190639
57,csr,v1,1,0,2,0.0189528
58,csr,v1,1,0,2,0.01897
59,csr,v1,1,0,2,0.0189836
60,csr,v1,1,0,2,0.0189819
61,csr,v1,1,0,2,0.0189213
62,csr,v1,1,0,2,0.0189313
63,csr,v1,1,0,2,0.0205067
64,csr,v1,1,0,2,0.0192802
65,csr,v1,1,0,2,0.019324
66,csr,v1,1,0,2,0.0193585
67,csr,v1,1,0,2,0.0193069
68,csr,v1,1,0,2,0.0193304
69,csr,v1,1,0,2,0.0194349
70,csr,v1,1,0,2,0.0193018
71,csr,v1,1,0,2,0.0193053
72,csr,v1,1,0,2,0.0193808
73,csr,v1,1,0,2,0.0193862
74,csr,v1,1,0,2,0.0193183
75,csr,v1,1,0,2,0.0193143
76,csr,v1,1,0,2,0.0194438
77,csr,v1,1,0,2,0.0193339
78,csr,v1,1,0,2,0.0192866
79,csr,v1,1,0,2,0.0193159
80,csr,v1,1,0,2,0.0194144
81,csr,v1,1,0,2,0.0193821
82,csr,v1,1,0,2,0.0193523
83,csr,v1,1,0,2,0.0193525
84,csr,v1,1,0,2,0.0193615
85,csr,v1,1,0,2,0.02008
86,csr,v1,1,0,2,0.0200312
87,csr,v1,1,0,2,0.0194947
88,csr,v1,1,0,2,0.0193848
89,csr,v1,1,0,2,0.0193492
90,csr,v1,1,0,2,0.0193831
91,csr,v1,1,0,2,0.0193709
92,csr,v1,1,0,2,0.019412
93,csr,v1,1,0,2,0.0193762
94,csr,v1,1,0,2,0.0208508
95,csr,v1,1,0,2,0.0193578
96,csr,v1,1,0,2,0.0194139
97,csr,v1,1,0,2,0.0193717
98,csr,v1,1,0,2,0.019369
99,csr,v1,1,0,2,0.0193868
100,csr,v1,1,0,2,0.019351
101,csr,v1,1,0,3,0.0146761
102,csr,v1,1,0,3,0.0143322
103,csr,v1,1,0,3,0.0143279
104,csr,v1,1,0,3,0.0143293
105,csr,v1,1,0,3,0.0145522
106,csr,v1,1,0,3,0.0144923
107,csr,v1,1,0,3,0.0144895
108,csr,v1,1,0,3,0.0144931
109,csr,v1,1,0,3,0.0145254
110,csr,v1,1,0,3,0.0145714
111,csr,v1,1,0,3,0.0144464
112,csr,v1,1,0,3,0.0144738
113,csr,v1,1,0,3,0.0158875
114,csr,v1,1,0,3,0.0144821
115,csr,v1,1,0,3,0.0144406
116,csr,v1,1,0,3,0.0144522
117,csr,v1,1,0,3,0.0144566
118,csr,v1,1,0,3,0.0144897
119,csr,v1,1,0,3,0.0144717
120,csr,v1,1,0,3,0.0144274
121,csr,v1,1,0,3,0.0144657
122,csr,v1,1,0,3,0.0144612
123,csr,v1,1,0,3,0.01448
124,csr,v1,1,0,3,0.0144493
125,csr,v1,1,0,3,0.0144372
126,csr,v1,1,0,3,0.0144763
127,csr,v1,1,0,3,0.0145163
128,csr,v1,1,0,3,0.0144552
129,csr,v1,1,0,3,0.0144882
130,csr,v1,1,0,3,0.0145126
131,csr,v1,1,0,3,0.014437
132,csr,v1,1,0,3,0.0144278
133,csr,v1,1,0,3,0.0144473
134,csr,v1,1,0,3,0.0145113
135,csr,v1,1,0,3,0.0145192
136,csr,v1,1,0,3,0.0145383
137,csr,v1,1,0,3,0.014468
138,csr,v1,1,0,3,0.0144848
139,csr,v1,1,0,3,0.0145385
140,csr,v1,1,0,3,0.0144417
141,csr,v1,1,0,3,0.0144507
142,csr,v1,1,0,3,0.0144791
143,csr,v1,1,0,3,0.0144877
144,csr,v1,1,0,3,0.0144623
145,csr,v1,1,0,3,0.0159197
146,csr,v1,1,0,3,0.0144805
147,csr,v1,1,0,3,0.0144571
148,csr,v1,1,0,3,0.0144404
149,csr,v1,1,0,3,0.0144413
150,csr,v1,1,0,3,0.014453
151,csr,v1,1,0,4,0.0135361
152,csr,v1,1,0,4,0.0131456
153,csr,v1,1,0,4,0.0130894
154,csr,v1,1,0,4,0.0130721
155,csr,v1,1,0,4,0.0130642
156,csr,v1,1,0,4,0.0130703
157,csr,v1,1,0,4,0.013032
158,csr,v1,1,0,4,0.0145099
159,csr,v1,1,0,4,0.0130546
160,csr,v1,1,0,4,0.0130891
161,csr,v1,1,0,4,0.0131232
162,csr,v1,1,0,4,0.0130867
163,csr,v1,1,0,4,0.0130828
164,csr,v1,1,0,4,0.0169344
165,csr,v1,1,0,4,0.0157996
166,csr,v1,1,0,4,0.0152322
167,csr,v1,1,0,4,0.0151963
168,csr,v1,1,0,4,0.0150366
169,csr,v1,1,0,4,0.0150679
170,csr,v1,1,0,4,0.0152283
171,csr,v1,1,0,4,0.0154819
172,csr,v1,1,0,4,0.0153098
173,csr,v1,1,0,4,0.0152408
174,csr,v1,1,0,4,0.0152684
175,csr,v1,1,0,4,0.0152545
176,csr,v1,1,0,4,0.0152399
177,csr,v1,1,0,4,0.0151892
178,csr,v1,1,0,4,0.0153194
179,csr,v1,1,0,4,0.0153148
180,csr,v1,1,0,4,0.0153077
181,csr,v1,1,0,4,0.0152785
182,csr,v1,1,0,4,0.0152808
183,csr,v1,1,0,4,0.0153117
184,csr,v1,1,0,4,0.0152798
185,csr,v1,1,0,4,0.0152753
186,csr,v1,1,0,4,0.0152475
187,csr,v1,1,0,4,0.0152879
188,csr,v1,1,0,4,0.0152641
189,csr,v1,1,0,4,0.0152302
190,csr,v1,1,0,4,0.0152534
191,csr,v1,1,0,4,0.0152604
192,csr,v1,1,0,4,0.015268
193,csr,v1,1,0,4,0.0152439
194,csr,v1,1,0,4,0.015351
195,csr,v1,1,0,4,0.0153785
196,csr,v1,1,0,4,0.0168962
197,csr,v1,1,0,4,0.0153206
198,csr,v1,1,0,4,0.0153544
199,csr,v1,1,0,4,0.0152951
200,csr,v1,1,0,4,0.0153149
201,csr,v1,1,0,5,0.0181577
202,csr,v1,1,0,5,0.0145672
203,csr,v1,1,0,5,0.0145005
204,csr,v1,1,0,5,0.0144686
205,csr,v1,1,0,5,0.0143835
206,csr,v1,1,0,5,0.0142412
207,csr,v1,1,0,5,0.0141728
208,csr,v1,1,0,5,0.0142346
209,csr,v1,1,0,5,0.0142436
210,csr,v1,1,0,5,0.0141603
211,csr,v1,1,0,5,0.0141312
212,csr,v1,1,0,5,0.0141376
213,csr,v1,1,0,5,0.0140861
214,csr,v1,1,0,5,0.0140947
215,csr,v1,1,0,5,0.0141181
216,csr,v1,1,0,5,0.0140762
217,csr,v1,1,0,5,0.0154998
218,csr,v1,1,0,5,0.0140252
219,csr,v1,1,0,5,0.0141398
220,csr,v1,1,0,5,0.0141669
221,csr,v1,1,0,5,0.0141612
222,csr,v1,1,0,5,0.0141305
223,csr,v1,1,0,5,0.014144
224,csr,v1,1,0,5,0.014127
225,csr,v1,1,0,5,0.014134
226,csr,v1,1,0,5,0.0141217
227,csr,v1,1,0,5,0.0141652
228,csr,v1,1,0,5,0.0141285
229,csr,v1,1,0,5,0.0141581
230,csr,v1,1,0,5,0.0159687
231,csr,v1,1,0,5,0.0147105
232,csr,v1,1,0,5,0.0141579
233,csr,v1,1,0,5,0.0141492
234,csr,v1,1,0,5,0.0141345
235,csr,v1,1,0,5,0.0141337
236,csr,v1,1,0,5,0.014075
237,csr,v1,1,0,5,0.0140214
238,csr,v1,1,0,5,0.0140262
239,csr,v1,1,0,5,0.0140389
240,csr,v1,1,0,5,0.0140981
241,csr,v1,1,0,5,0.0141258
242,csr,v1,1,0,5,0.0141425
243,csr,v1,1,0,5,0.0141547
244,csr,v1,1,0,5,0.014195
245,csr,v1,1,0,5,0.0140721
246,csr,v1,1,0,5,0.0140146
247,csr,v1,1,0,5,0.0140671
248,csr,v1,1,0,5,0.0140364
249,csr,v1,1,0,5,0.0155397
250,csr,v1,1,0,5,0.0141413
251,csr,v1,1,0,6,0.0181906
252,csr,v1,1,0,6,0.0137531
253,csr,v1,1,0,6,0.0135681
254,csr,v1,1,0,6,0.0134479
255,csr,v1,1,0,6,0.0134443
256,csr,v1,1,0,6,0.0148377
257,csr,v1,1,0,6,0.013478
258,csr,v1,1,0,6,0.0134433
259,csr,v1,1,0,6,0.013502
260,csr,v1,1,0,6,0.0134423
261,csr,v1,1,0,6,0.0134416
262,csr,v1,1,0,6,0.0134114
263,csr,v1,1,0,6,0.0133423
264,csr,v1,1,0,6,0.0133644
265,csr,v1,1,0,6,0.0133586
266,csr,v1,1,0,6,0.013366
267,csr,v1,1,0,6,0.0135695
268,csr,v1,1,0,6,0.0134856
269,csr,v1,1,0,6,0.0134147
270,csr,v1,1,0,6,0.0133738
271,csr,v1,1,0,6,0.0133721
272,csr,v1,1,0,6,0.0133245
273,csr,v1,1,0,6,0.0133886
274,csr,v1,1,0,6,0.0133598
275,csr,v1,1,0,6,0.0180398
276,csr,v1,1,0,6,0.0136537
277,csr,v1,1,0,6,0.0135172
278,csr,v1,1,0,6,0.013491
279,csr,v1,1,0,6,0.0134815
280,csr,v1,1,0,6,0.0134548
281,csr,v1,1,0,6,0.0134477
282,csr,v1,1,0,6,0.0134168
283,csr,v1,1,0,6,0.0134145
284,csr,v1,1,0,6,0.0134979
285,csr,v1,1,0,6,0.0153198
286,csr,v1,1,0,6,0.0133577
287,csr,v1,1,0,6,0.0133326
288,csr,v1,1,0,6,0.0132701
289,csr,v1,1,0,6,0.0132931
290,csr,v1,1,0,6,0.0132886
291,csr,v1,1,0,6,0.0132493
292,csr,v1,1,0,6,0.0132717
293,csr,v1,1,0,6,0.0132577
294,csr,v1,1,0,6,0.0132881
295,csr,v1,1,0,6,0.0132557
296,csr,v1,1,0,6,0.013269
297,csr,v1,1,0,6,0.0133014
298,csr,v1,1,0,6,0.0132657
299,csr,v1,1,0,6,0.0133166
300,csr,v1,1,0,6,0.0132314
301,csr,v1,1,0,7,0.0210624
302,csr,v1,1,0,7,0.0129488
303,csr,v1,1,0,7,0.0128646
304,csr,v1,1,0,7,0.0128369
305,csr,v1,1,0,7,0.0128623
306,csr,v1,1,0,7,0.0128346
307,csr,v1,1,0,7,0.0128314
308,csr,v1,1,0,7,0.0128408
309,csr,v1,1,0,7,0.0128722
310,csr,v1,1,0,7,0.0128823
311,csr,v1,1,0,7,0.0128259
312,csr,v1,1,0,7,0.0128017
313,csr,v1,1,0,7,0.012837
314,csr,v1,1,0,7,0.0128524
315,csr,v1,1,0,7,0.0142966
316,csr,v1,1,0,7,0.0128793
317,csr,v1,1,0,7,0.0128956
318,csr,v1,1,0,7,0.01309
319,csr,v1,1,0,7,0.0129637
320,csr,v1,1,0,7,0.0129181
321,csr,v1,1,0,7,0.0129162
322,csr,v1,1,0,7,0.013017
323,csr,v1,1,0,7,0.0130042
324,csr,v1,1,0,7,0.012992
325,csr,v1,1,0,7,0.0132034
326,csr,v1,1,0,7,0.013035
327,csr,v1,1,0,7,0.0130222
328,csr,v1,1,0,7,0.0129187
329,csr,v1,1,0,7,0.0131662
330,csr,v1,1,0,7,0.0129732
331,csr,v1,1,0,7,0.013012
332,csr,v1,1,0,7,0.0130265
333,csr,v1,1,0,7,0.0130089
334,csr,v1,1,0,7,0.0130289
335,csr,v1,1,0,7,0.0130015
336,csr,v1,1,0,7,0.0130146
337,csr,v1,1,0,7,0.0128839
338,csr,v1,1,0,7,0.0128747
339,csr,v1,1,0,7,0.0128469
340,csr,v1,1,0,7,0.0128496
341,csr,v1,1,0,7,0.0128292
342,csr,v1,1,0,7,0.0129085
343,csr,v1,1,0,7,0.0128663
344,csr,v1,1,0,7,0.0128674
345,csr,v1,1,0,7,0.0128607
