id,format,variant,is_fp64,hack_size,cpu_mt_nthreads,time_it_took
1,csr,v1,1,0,1,0.00535782
2,csr,v1,1,0,1,0.0039908
3,csr,v1,1,0,1,0.00385186
4,csr,v1,1,0,1,0.00380506
5,csr,v1,1,0,1,0.00379866
6,csr,v1,1,0,1,0.00377865
7,csr,v1,1,0,1,0.0037636
8,csr,v1,1,0,1,0.00375414
9,csr,v1,1,0,1,0.00375986
10,csr,v1,1,0,1,0.00375602
11,csr,v1,1,0,1,0.00376392
12,csr,v1,1,0,1,0.00375346
13,csr,v1,1,0,1,0.00374598
14,csr,v1,1,0,1,0.00374324
15,csr,v1,1,0,1,0.00374557
16,csr,v1,1,0,1,0.00377785
17,csr,v1,1,0,1,0.00374789
18,csr,v1,1,0,1,0.00375415
19,csr,v1,1,0,1,0.00375032
20,csr,v1,1,0,1,0.00375139
21,csr,v1,1,0,1,0.00374764
22,csr,v1,1,0,1,0.0037489
23,csr,v1,1,0,1,0.00374331
24,csr,v1,1,0,1,0.00374255
25,csr,v1,1,0,1,0.00375166
26,csr,v1,1,0,1,0.00373937
27,csr,v1,1,0,1,0.00373784
28,csr,v1,1,0,1,0.00374295
29,csr,v1,1,0,1,0.00374823
30,csr,v1,1,0,1,0.00373325
31,csr,v1,1,0,1,0.00373061
32,csr,v1,1,0,1,0.00374737
33,csr,v1,1,0,1,0.00372975
34,csr,v1,1,0,1,0.00373553
35,csr,v1,1,0,1,0.00372597
36,csr,v1,1,0,1,0.00373325
37,csr,v1,1,0,1,0.00372337
38,csr,v1,1,0,1,0.00372857
39,csr,v1,1,0,1,0.00372655
40,csr,v1,1,0,1,0.00372201
41,csr,v1,1,0,1,0.00372321
42,csr,v1,1,0,1,0.003727
43,csr,v1,1,0,1,0.00373961
44,csr,v1,1,0,1,0.00372242
45,csr,v1,1,0,1,0.00371944
46,csr,v1,1,0,1,0.00372163
47,csr,v1,1,0,1,0.00372355
48,csr,v1,1,0,1,0.00372881
49,csr,v1,1,0,1,0.00372978
50,csr,v1,1,0,1,0.00371335
51,csr,v1,1,0,2,0.00432347
52,csr,v1,1,0,2,0.00371906
53,csr,v1,1,0,2,0.00320985
54,csr,v1,1,0,2,0.00311231
55,csr,v1,1,0,2,0.00309804
56,csr,v1,1,0,2,0.00308185
57,csr,v1,1,0,2,0.00307336
58,csr,v1,1,0,2,0.00307075
59,csr,v1,1,0,2,0.00306666
60,csr,v1,1,0,2,0.00306459
61,csr,v1,1,0,2,0.00306191
62,csr,v1,1,0,2,0.00306317
63,csr,v1,1,0,2,0.00307264
64,csr,v1,1,0,2,0.00306712
65,csr,v1,1,0,2,0.00306909
66,csr,v1,1,0,2,0.00306212
67,csr,v1,1,0,2,0.0030561
68,csr,v1,1,0,2,0.00305724
69,csr,v1,1,0,2,0.0030703
70,csr,v1,1,0,2,0.00306106
71,csr,v1,1,0,2,0.00306825
72,csr,v1,1,0,2,0.00306568
73,csr,v1,1,0,2,0.00305146
74,csr,v1,1,0,2,0.00306749
75,csr,v1,1,0,2,0.0030539
76,csr,v1,1,0,2,0.00305876
77,csr,v1,1,0,2,0.00306699
78,csr,v1,1,0,2,0.00308971
79,csr,v1,1,0,2,0.00306553
80,csr,v1,1,0,2,0.00306488
81,csr,v1,1,0,2,0.00308188
82,csr,v1,1,0,2,0.00306625
83,csr,v1,1,0,2,0.00307431
84,csr,v1,1,0,2,0.00306195
85,csr,v1,1,0,2,0.00306777
86,csr,v1,1,0,2,0.00306641
87,csr,v1,1,0,2,0.00308971
88,csr,v1,1,0,2,0.00306889
89,csr,v1,1,0,2,0.00306118
90,csr,v1,1,0,2,0.00306291
91,csr,v1,1,0,2,0.00306382
92,csr,v1,1,0,2,0.00306833
93,csr,v1,1,0,2,0.0030838
94,csr,v1,1,0,2,0.00306589
95,csr,v1,1,0,2,0.00307444
96,csr,v1,1,0,2,0.00306994
97,csr,v1,1,0,2,0.00306488
98,csr,v1,1,0,2,0.00306277
99,csr,v1,1,0,2,0.00305932
100,csr,v1,1,0,2,0.00306443
101,csr,v1,1,0,3,0.00292074
102,csr,v1,1,0,3,0.00260802
103,csr,v1,1,0,3,0.0025764
104,csr,v1,1,0,3,0.00257374
105,csr,v1,1,0,3,0.00255997
106,csr,v1,1,0,3,0.00256603
107,csr,v1,1,0,3,0.00257162
108,csr,v1,1,0,3,0.00258526
109,csr,v1,1,0,3,0.00257141
110,csr,v1,1,0,3,0.00256843
111,csr,v1,1,0,3,0.00256758
112,csr,v1,1,0,3,0.00256642
113,csr,v1,1,0,3,0.00258958
114,csr,v1,1,0,3,0.00257917
115,csr,v1,1,0,3,0.00256648
116,csr,v1,1,0,3,0.00256373
117,csr,v1,1,0,3,0.00256443
118,csr,v1,1,0,3,0.00256301
119,csr,v1,1,0,3,0.00256088
120,csr,v1,1,0,3,0.00256049
121,csr,v1,1,0,3,0.00257838
122,csr,v1,1,0,3,0.00256642
123,csr,v1,1,0,3,0.00257051
124,csr,v1,1,0,3,0.00256041
125,csr,v1,1,0,3,0.00256316
126,csr,v1,1,0,3,0.0025641
