id,format,variant,is_fp64,hack_size,cpu_mt_nthreads,time_it_took
1,csr,v1,1,0,0,5.1008e-05
2,csr,v1,1,0,0,5.12e-05
3,csr,v1,1,0,0,5.0016e-05
4,csr,v1,1,0,0,4.9152e-05
5,csr,v1,1,0,0,5.0432e-05
6,csr,v1,1,0,0,4.9728e-05
7,csr,v1,1,0,0,5.1904e-05
8,csr,v1,1,0,0,5.04e-05
9,csr,v1,1,0,0,5.1456e-05
10,csr,v1,1,0,0,5.0976e-05
11,csr,v1,1,0,0,5.3216e-05
12,csr,v1,1,0,0,4.9376e-05
13,csr,v1,1,0,0,4.9408e-05
14,csr,v1,1,0,0,5.12e-05
15,csr,v1,1,0,0,4.9952e-05
16,csr,v1,1,0,0,4.9824e-05
17,csr,v1,1,0,0,4.9696e-05
18,csr,v1,1,0,0,4.9184e-05
19,csr,v1,1,0,0,5.1168e-05
20,csr,v1,1,0,0,4.9696e-05
21,csr,v1,1,0,0,5.088e-05
22,csr,v1,1,0,0,5.1424e-05
23,csr,v1,1,0,0,4.9152e-05
24,csr,v1,1,0,0,5.0464e-05
25,csr,v1,1,0,0,5.0976e-05
26,csr,v1,1,0,0,5.1296e-05
27,csr,v1,1,0,0,5.1008e-05
28,csr,v1,1,0,0,5.1328e-05
29,csr,v1,1,0,0,5.136e-05
30,csr,v1,1,0,0,5.7376e-05
31,csr,v1,1,0,0,4.9152e-05
32,csr,v1,1,0,0,5.1264e-05
33,csr,v1,1,0,0,4.9152e-05
34,csr,v1,1,0,0,5.1072e-05
35,csr,v1,1,0,0,5.1488e-05
36,csr,v1,1,0,0,5.0016e-05
37,csr,v1,1,0,0,4.9504e-05
38,csr,v1,1,0,0,4.976e-05
39,csr,v1,1,0,0,5.1456e-05
40,csr,v1,1,0,0,5.5904e-05
41,csr,v1,1,0,0,4.8928e-05
42,csr,v1,1,0,0,5.0816e-05
43,csr,v1,1,0,0,5.1392e-05
44,csr,v1,1,0,0,5.12e-05
45,csr,v1,1,0,0,5.1104e-05
46,csr,v1,1,0,0,5.0176e-05
47,csr,v1,1,0,0,5.1104e-05
48,csr,v1,1,0,0,5.0336e-05
49,csr,v1,1,0,0,4.9856e-05
50,csr,v1,1,0,0,4.9888e-05
51,csr,v2,1,0,0,4.7552e-05
52,csr,v2,1,0,0,4.8736e-05
53,csr,v2,1,0,0,4.88e-05
54,csr,v2,1,0,0,5.12e-05
55,csr,v2,1,0,0,4.9152e-05
56,csr,v2,1,0,0,5.0144e-05
57,csr,v2,1,0,0,4.8704e-05
58,csr,v2,1,0,0,4.9984e-05
59,csr,v2,1,0,0,4.992e-05
60,csr,v2,1,0,0,4.9088e-05
61,csr,v2,1,0,0,4.944e-05
62,csr,v2,1,0,0,5.1136e-05
63,csr,v2,1,0,0,4.944e-05
64,csr,v2,1,0,0,4.9952e-05
65,csr,v2,1,0,0,4.9568e-05
66,csr,v2,1,0,0,4.9152e-05
67,csr,v2,1,0,0,4.8992e-05
68,csr,v2,1,0,0,4.8896e-05
69,csr,v2,1,0,0,4.9152e-05
70,csr,v2,1,0,0,5.1168e-05
71,csr,v2,1,0,0,4.912e-05
72,csr,v2,1,0,0,4.8992e-05
73,csr,v2,1,0,0,4.9664e-05
74,csr,v2,1,0,0,5.0368e-05
75,csr,v2,1,0,0,4.8736e-05
76,csr,v2,1,0,0,4.944e-05
77,csr,v2,1,0,0,4.9472e-05
78,csr,v2,1,0,0,4.8224e-05
79,csr,v2,1,0,0,4.9984e-05
80,csr,v2,1,0,0,4.9152e-05
81,csr,v2,1,0,0,4.9824e-05
82,csr,v2,1,0,0,4.9024e-05
83,csr,v2,1,0,0,5.088e-05
84,csr,v2,1,0,0,4.9984e-05
85,csr,v2,1,0,0,4.7936e-05
86,csr,v2,1,0,0,4.9024e-05
87,csr,v2,1,0,0,4.9344e-05
88,csr,v2,1,0,0,5.0272e-05
