id,format,variant,is_fp64,hack_size,cpu_mt_nthreads,time_it_took
1,csr,v1,1,0,0,5.01308e-06
2,csr,v1,1,0,0,4.79096e-06
3,csr,v1,1,0,0,4.7572e-06
4,csr,v1,1,0,0,4.71901e-06
5,csr,v1,1,0,0,4.72413e-06
6,csr,v1,1,0,0,4.74602e-06
7,csr,v1,1,0,0,4.75091e-06
8,csr,v1,1,0,0,1.5616e-05
9,csr,v1,1,0,0,4.42518e-06
10,csr,v1,1,0,0,4.45102e-06
11,csr,v1,1,0,0,4.45102e-06
12,csr,v1,1,0,0,4.45102e-06
13,csr,v1,1,0,0,4.4289e-06
14,csr,v1,1,0,0,4.42611e-06
15,csr,v1,1,0,0,4.45102e-06
16,csr,v1,1,0,0,4.45498e-06
17,csr,v1,1,0,0,4.45498e-06
18,csr,v1,1,0,0,4.4601e-06
19,csr,v1,1,0,0,4.42704e-06
20,csr,v1,1,0,0,4.42611e-06
21,csr,v1,1,0,0,4.45591e-06
22,csr,v1,1,0,0,4.44986e-06
23,csr,v1,1,0,0,4.448e-06
24,csr,v1,1,0,0,4.42914e-06
25,csr,v1,1,0,0,4.42308e-06
26,csr,v1,1,0,0,4.45405e-06
27,csr,v1,1,0,0,4.45498e-06
28,csr,v1,1,0,0,4.45405e-06
29,csr,v1,1,0,0,4.44916e-06
30,csr,v1,1,0,0,4.42006e-06
31,csr,v1,1,0,0,4.42704e-06
32,csr,v1,1,0,0,4.45894e-06
33,csr,v1,1,0,0,4.45102e-06
34,csr,v1,1,0,0,4.45917e-06
35,csr,v1,1,0,0,4.45312e-06
36,csr,v1,1,0,0,4.42495e-06
37,csr,v1,1,0,0,4.42797e-06
38,csr,v1,1,0,0,4.45615e-06
39,csr,v1,1,0,0,4.45591e-06
40,csr,v1,1,0,0,4.45219e-06
41,csr,v1,1,0,0,4.45498e-06
42,csr,v1,1,0,0,4.42402e-06
43,csr,v1,1,0,0,4.45684e-06
44,csr,v1,1,0,0,4.45289e-06
45,csr,v1,1,0,0,4.44986e-06
46,csr,v1,1,0,0,4.45009e-06
47,csr,v1,1,0,0,4.42006e-06
48,csr,v1,1,0,0,4.43216e-06
49,csr,v1,1,0,0,4.45591e-06
50,csr,v1,1,0,0,4.44893e-06
51,hll,v1,1,1024,0,5.8182e-06
52,hll,v1,1,1024,0,5.60493e-06
53,hll,v1,1,1024,0,5.52298e-06
54,hll,v1,1,1024,0,5.60889e-06
55,hll,v1,1,1024,0,5.53508e-06
56,hll,v1,1,1024,0,5.56395e-06
57,hll,v1,1,1024,0,5.51599e-06
58,hll,v1,1,1024,0,5.51785e-06
59,hll,v1,1,1024,0,5.50784e-06
60,hll,v1,1,1024,0,5.53695e-06
61,hll,v1,1,1024,0,5.55115e-06
62,hll,v1,1,1024,0,5.53601e-06
63,hll,v1,1,1024,0,5.63194e-06
64,hll,v1,1,1024,0,5.49085e-06
65,hll,v1,1,1024,0,5.53112e-06
66,hll,v1,1,1024,0,5.55813e-06
67,hll,v1,1,1024,0,5.57303e-06
68,hll,v1,1,1024,0,5.543e-06
69,hll,v1,1,1024,0,1.03619e-05
70,hll,v1,1,1024,0,5.57886e-06
71,hll,v1,1,1024,0,5.55208e-06
72,hll,v1,1,1024,0,5.52693e-06
73,hll,v1,1,1024,0,5.58817e-06
74,hll,v1,1,1024,0,5.53182e-06
75,hll,v1,1,1024,0,5.56698e-06
76,hll,v1,1,1024,0,5.57792e-06
77,hll,v1,1,1024,0,5.54183e-06
78,hll,v1,1,1024,0,5.51995e-06
79,hll,v1,1,1024,0,5.53112e-06
80,hll,v1,1,1024,0,5.56791e-06
81,hll,v1,1,1024,0,5.5139e-06
82,hll,v1,1,1024,0,5.56e-06
83,hll,v1,1,1024,0,5.54905e-06
84,hll,v1,1,1024,0,5.51203e-06
85,hll,v1,1,1024,0,5.53299e-06
86,hll,v1,1,1024,0,5.55906e-06
87,hll,v1,1,1024,0,5.55511e-06
88,hll,v1,1,1024,0,5.5409e-06
89,hll,v1,1,1024,0,5.56e-06
90,hll,v1,1,1024,0,5.54998e-06
91,hll,v1,1,1024,0,5.59399e-06
92,hll,v1,1,1024,0,5.53415e-06
93,hll,v1,1,1024,0,5.55813e-06
94,hll,v1,1,1024,0,5.54603e-06
95,hll,v1,1,1024,0,5.526e-06
96,hll,v1,1,1024,0,5.51483e-06
97,hll,v1,1,1024,0,5.53601e-06
98,hll,v1,1,1024,0,5.53299e-06
99,hll,v1,1,1024,0,5.54696e-06
100,hll,v1,1,1024,0,5.59189e-06
