id,format,variant,is_fp64,hack_size,cpu_mt_nthreads,time_it_took
1,csr,v1,1,0,0,1.70898e-07
2,csr,v1,1,0,0,1.14087e-07
3,csr,v1,1,0,0,8.59145e-08
4,csr,v1,1,0,0,1.26893e-07
5,csr,v1,1,0,0,1.31084e-07
6,csr,v1,1,0,0,8.19564e-08
7,csr,v1,1,0,0,8.19564e-08
8,csr,v1,1,0,0,8.10251e-08
9,csr,v1,1,0,0,8.10251e-08
10,csr,v1,1,0,0,8.28877e-08
11,csr,v1,1,0,0,8.10251e-08
12,csr,v1,1,0,0,8.10251e-08
13,csr,v1,1,0,0,8.21892e-08
14,csr,v1,1,0,0,8.21892e-08
15,csr,v1,1,0,0,8.19564e-08
16,csr,v1,1,0,0,8.19564e-08
17,csr,v1,1,0,0,8.10251e-08
18,csr,v1,1,0,0,8.10251e-08
19,csr,v1,1,0,0,8.10251e-08
20,csr,v1,1,0,0,8.10251e-08
21,csr,v1,1,0,0,8.00937e-08
22,csr,v1,1,0,0,8.00937e-08
23,csr,v1,1,0,0,7.98609e-08
24,csr,v1,1,0,0,7.98609e-08
25,csr,v1,1,0,0,8.19564e-08
26,csr,v1,1,0,0,8.10251e-08
27,csr,v1,1,0,0,8.10251e-08
28,csr,v1,1,0,0,7.98609e-08
29,csr,v1,1,0,0,8.10251e-08
30,csr,v1,1,0,0,7.98609e-08
31,csr,v1,1,0,0,8.00937e-08
32,csr,v1,1,0,0,8.10251e-08
33,csr,v1,1,0,0,8.00937e-08
34,csr,v1,1,0,0,8.10251e-08
35,csr,v1,1,0,0,8.10251e-08
36,csr,v1,1,0,0,8.19564e-08
37,csr,v1,1,0,0,8.28877e-08
38,csr,v1,1,0,0,8.10251e-08
39,csr,v1,1,0,0,8.10251e-08
40,csr,v1,1,0,0,7.98609e-08
41,csr,v1,1,0,0,7.98609e-08
42,csr,v1,1,0,0,8.10251e-08
43,csr,v1,1,0,0,8.10251e-08
44,csr,v1,1,0,0,8.10251e-08
45,csr,v1,1,0,0,8.19564e-08
46,csr,v1,1,0,0,8.10251e-08
47,csr,v1,1,0,0,8.10251e-08
48,csr,v1,1,0,0,7.98609e-08
49,csr,v1,1,0,0,8.21892e-08
50,csr,v1,1,0,0,8.19564e-08
51,hll,v1,1,1024,0,5.50202e-06
52,hll,v1,1,1024,0,5.40004e-06
53,hll,v1,1,1024,0,5.37117e-06
54,hll,v1,1,1024,0,5.35604e-06
55,hll,v1,1,1024,0,5.3551e-06
56,hll,v1,1,1024,0,5.32297e-06
57,hll,v1,1,1024,0,5.33089e-06
58,hll,v1,1,1024,0,5.34719e-06
59,hll,v1,1,1024,0,5.35091e-06
60,hll,v1,1,1024,0,5.37909e-06
61,hll,v1,1,1024,0,5.35906e-06
62,hll,v1,1,1024,0,5.34905e-06
63,hll,v1,1,1024,0,5.37396e-06
64,hll,v1,1,1024,0,5.34696e-06
65,hll,v1,1,1024,0,5.32484e-06
66,hll,v1,1,1024,0,5.34602e-06
67,hll,v1,1,1024,0,5.34905e-06
68,hll,v1,1,1024,0,5.37001e-06
69,hll,v1,1,1024,0,5.33112e-06
70,hll,v1,1,1024,0,5.34183e-06
71,hll,v1,1,1024,0,5.343e-06
72,hll,v1,1,1024,0,5.37303e-06
73,hll,v1,1,1024,0,5.343e-06
74,hll,v1,1,1024,0,5.32996e-06
75,hll,v1,1,1024,0,5.33904e-06
76,hll,v1,1,1024,0,5.34393e-06
77,hll,v1,1,1024,0,5.35115e-06
78,hll,v1,1,1024,0,5.30598e-06
79,hll,v1,1,1024,0,5.35301e-06
80,hll,v1,1,1024,0,5.33694e-06
81,hll,v1,1,1024,0,5.36209e-06
82,hll,v1,1,1024,0,5.33601e-06
83,hll,v1,1,1024,0,5.34509e-06
84,hll,v1,1,1024,0,5.35185e-06
85,hll,v1,1,1024,0,5.31483e-06
86,hll,v1,1,1024,0,5.36907e-06
87,hll,v1,1,1024,0,5.326e-06
88,hll,v1,1,1024,0,5.37699e-06
89,hll,v1,1,1024,0,5.33904e-06
90,hll,v1,1,1024,0,5.35813e-06
91,hll,v1,1,1024,0,5.37816e-06
92,hll,v1,1,1024,0,5.35604e-06
93,hll,v1,1,1024,0,5.32903e-06
94,hll,v1,1,1024,0,5.31902e-06
95,hll,v1,1,1024,0,5.32693e-06
96,hll,v1,1,1024,0,5.33112e-06
97,hll,v1,1,1024,0,5.30388e-06
98,hll,v1,1,1024,0,1.1109e-05
99,hll,v1,1,1024,0,5.32088e-06
100,hll,v1,1,1024,0,2.18528e-05
